Invoice No,"Line number
reference","Item
Description","Billing
Reference",Date,Time,"Aircraft
ID","Flight
Number","Origin
Code",Dest. Code,Entry Point,Exit Point,"Distance
Km","Aircraft
Type","Weight
Factor","Distance
Factor","Flight
Type","En-Route
Charge",Approach Charge,"Flight Total
Charge","Item Subtotal
Including VAT"
502012523021670,99,"Landings -
1291481I",12914811,11-Jun-25,0.85088,VTCIH,AIC932,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,100,"Landings -
12914715",12914715,11-Jun-25,0.859028,VTCIN,AIC935,VABB,OEDF,NARMI,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,101,"Landings -
12914837",12914837,11-Jun-25,0.913484,VTCIN,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,102,"Landings -
12915346",12915346,12-Jun-25,0.099306,VTEXH,AIC921,VABB,OERK,PEKEM,OERK,760,A320,1.26,7.6,s,1129.97,252,1381.97,1381.97
502012523021670,103,"Landings -
12915681",12915681,12-Jun-25,0.173947,VTEXI,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,104,"Landings -
12916546",12916546,12-Jun-25,0.541667,VTEXO,AJC925,VIDP,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
502012523021670,105,"Landings -
12916917",12916917,12-Jun-25,0.626528,VTEXO,AIC926,OERK,VIDP,OERK,DAROR,400,A320,1.26,4,s,594.72,0,594.72,594.72
502012523021670,106,"Landings -
12917170",12917170,12-Jun-25,0.696528,VTEXL,AJC937,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,107,"Landings -
12917298",12917298,12-Jun-25,0.740972,VTCIN,AIC931,VABB,OEJN,PEKEM,OEJN,1514,A320,1.26,15.14,s,2251.02,252,2503.02,2503.02
502012523021670,108,"Landings -
12917209",12917209,12-Jun-25,I 8:37:00,VTCIG,AIC991,VIDP,OEJN,ULADA,OEJN,1241,A320,1.26,12.41,s,1845.12,252,2097.12,2097.12
502012523021670,109,"Landings -
129 I 7439",12917439,12-Jun-25,I 8:50:00,VTEXT,AIC935,VABB,OEDF,NARMJ,OEDF,36,A320,1.26,0.36,s,53.52,252,305.52,305.52
502012523021670,110,"Landings -
129 I 7626",12917626,12-Jun-25,0.78831,VTEXL,AIC938,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2490.39,2490.39
502012523021670,111,"Landings -
12917744",12917744,12-Jun-25,0.830289,VTCIN,AIC932,OEJN,VABB,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2.490.39,2490.39
502012523021670,112,"Landings -
12917775",12917775,12-Jun-25,0.846493,VTCIG,AIC992,OEJN,VIDP,OEJN,MIDGU,1675,A320,1.26,16.75,s,2490.39,0,2.490.39,2490.39
502012523021670,113,"Landings -
12917724",12917724,12-Jun-25,0.870382,VTEXT,AIC936,OEDF,VABB,OEDF,LADNA,58,A320,1.26,0.58,s,86.23,0,86.23,86.23
502012523021670,114,"Landings -
12918411",12918411,13-Jun-25,0.108333,VTEXN,AJC921,VABB,OERK,ULADA,OERK,389,A320,1.26,3.89,s,578.37,252,830.37,830.37
502012523021670,115,"Overflights -
12918663",12918663,13-Jun-25,0.133495,VTANG,AIC\32,EGLL,VOBL,DEESA,DAROR,1335,8788,2.14,13.35,X,3371.14,0,3371.14,3371.14
502012523021670,116,"Overflights -
129 I 8671",12918671,13-Jun-25,0.140231,VTJRB,AICl02,KJFK,OMSJ,DEESA,DAROR,1335,A359,2.39,13.35,X,3764.97,0,3764.97,3764.97
502012523021670,117,"Landings -
12918799",12918799,13-Jun-25,0.184317,VTEXN,AIC922,OERK,VABB,OERK,MIDGU,926,A320,1.26,9.26,s,1376.78,0,1376.78,1376.78
502012523021670,118,"Landings -
12918659",12918659,13-Jun-25,0.204167,VTAEM,AICll6,KJFK,OEJN,DEESA,OEJN,908,877W,2.65,9.08,s,2839.32,530,3369.32,3369.32
502012523021670,119,"Landings -
12919004",12919004,13-Jun-25,0.271528,VTALU,AICl88,CYYZ,OEJN,DEDLI,OEJN,175,B77W,2.65,1.75,s,547.23,530,1077.23,1077.23
502012523021670,120,Landings -12919251,12919251,13-Jun-25,0.286921,VTAEM,AICll6D,OEJN,VABB,OEJN,MIDGU,1675,B77W,2.65,16.75,s,5237.73,0,5237.73,5237.73
502012523021670,121,Landings -12919092,12919092,13-Jun-25,0.290278,VTALJ,AJCl26,KORD,OEJN,DEDLI,OEJN,175,B77W,2.65,1.75,s,547.23,530,1077.23,1077.23
502012523021670,122,Landings -12919433,12919433,13-Jun-25,0.34787,VTALU,AIC188D,OEJN,VIDP,OEJN,MIDGU,1675,B77W,2.65,16.75,s,5237.73,0,5237.73,5237.73
502012523021670,123,Landings -12919503,12919503,13-Jun-25,0.373218,VTALJ,AJC126D,OEJN,VIDP,OEJN,MIDGU,1675,B77W,2.65,16.75,s,5237.73,0,5237.73,5237.73
502012523021670,124,Overflights -12921224,12921224,13-Jun-25,0.407708,VTALR,AICl90,CVYZ,OMSJ,KITOT,DAROR,1502,B77W,2.65,15.02,G,4696.75,0,4696.75,4696.75
502012523021670,125,Overflights -12919677,12919677,13-Jun-25,0.456377,VTANP,AIC104D,LOWW,VIDP,SILKA,DAROR,1441,B788,2.14,14.41,X,3638.81,0,"3,638.8 I","3,638.8 I"
502012523021670,126,Overflights -12920106,12920106,13-Jun-25,II :40:29,VTANE,AICl33,VOBL,EGLL,TOKRA,PASAM,2165,B788,2.14,21.65,s,5467.06,0,5467.06,5467.06
502012523021670,127,Overflights -12919943,12919943,13-Jun-25,0.495822,VTAEO,AICl31,VABB,EGLL,ULADA,KITOT,1538,B77W,2.65,15.38,s,4809.33,0,4809.33,4809.33
502012523021670,128,Overflights -12920021,12920021,13-Jun-25,0.508935,VTANV,AICl55,VIDP,EHAM,ULADA,KITOT,1538,B788,2.14,15.38,s,3883.76,0,3883.76,3883.76
502012523021670,129,Overflights -12920165,12920165,13-Jun-25,0.553449,VTANV,AICl43,VIDP,LFPG,ULADA,KITOT,1538,8788,2.14,15.38,s,3883.76,0,3883.76,3883.76
502012523021670,130,Overflights -12920096,12920096,13-Jun-25,13:35:3 I,VTJRE,AICI06D,LOWW,VIDP,SILKA,DAROR,1441,A359,2.39,14.41,s,4063.91,0,4063.91,4063.91
502012523021670,131,Ovcrilights -12920202,12920202,13-Jun-25,0.570243,VTTSE,AJC2017,VIDP,EGLL,ULADA,KITOT,1538,B789,2.25,15.38,s,4083.39,0,4083.39,4083.39
502012523021670,132,Overflights -12920247,12920247,13-Jun-25,0.575775,VTANN,AIC\57,VlDP,EKCH,ULADA,KJTOT,1538,B788,2.14,15.38,s,3883.76,0,3883.76,3883.76
