Invoice Number,Ident,Reg,Dist.,tonn,Amount,Mapped_Unit_Rate,Calculated_Amount,Status
4AIC-453,AIC2030,VTTSN,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AUV141,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AUV142,UK32080,433.0,77.0,324.75,75.0,324.75,Matched
4AIC-453,AIC104,VTNAC,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC106,VTJRA,1143.0,280.0,960.12,84.0,960.12,Matched
4AIC-453,AIC111,VTJRF,1225.0,280.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC112,VTJRF,1203.0,280.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC117,VTANC,1225.0,220.0,1029.0,84.0,1029.0,Matched
4AIC-453,AIC118,VTANC,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC130,VTAEN,1350.0,345.0,1215.0,90.0,1215.0,Matched
4AIC-453,AIC131,VTAEN,454.0,345.0,408.6,90.0,408.6,Matched
4AIC-453,AIC137,VTANC,757.0,220.0,635.88,84.0,635.88,Matched
4AIC-453,AIC138,VTANW,1172.0,220.0,984.48,84.0,984.48,Matched
4AIC-453,AIC143,VTANX,983.0,220.0,825.72,84.0,825.72,Matched
4AIC-453,AIC147,VTTSO,1143.0,247.0,960.12,84.0,960.12,Matched
4AIC-453,AIC148,VTTSO,1203.0,247.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC153,VTANW,757.0,220.0,635.88,84.0,635.88,Matched
4AIC-453,AIC154,VTANW,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC156,VTANS,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC157,VTANB,1203.0,220.0,1010.52,84.0,1010.52,Matched
4AIC-453,AIC161,VTJRE,1221.0,280.0,1025.64,84.0,1025.64,Matched
4AIC-453,AIC162,VTJRE,1143.0,280.0,960.12,84.0,960.12,Matched
4AIC-453,AIC169,VTANI,1228.0,220.0,1031.52,84.0,1031.52,Matched
