Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
20,"2025-09-01
17:39","AIC9
31",VTCIQ,A20N,"OEJN  @  Destination
VABB  @  Origin",,"0
0","79.0000  @
TON","2025-09-01  12:50  @  Exit
2025-09-01  14:57  @  Entry",,1.2200,"LUDID
PARAR","806.000  @  KM
806.000  @  KM",,1.0000,308.17,308.17,
20,"2025-09-01
17:43",AIC2 029,VTTSP,B789,"VIDP  @  Origin
EDDF  @  Destination",,"0
0","255.0000  @
TON","2025-09-01  11:05  @  Entry
2025-09-01  08:25  @  Exit",,1.7100,RASKI MENSA,"774.000  @  KM
774.000  @  KM",,1.0000,414.80,414.80,
Billing Entity: XB-E38 Civil Aviation Authority,,,,,,"Invoice #: 0320860591
Billing Period: Oct 2025, 02 Currency of Billing: USD",,,,"Charge Catgory: ATC
Charge Code: En-Route",,,,Billed Entity: AI-098 AIR INDIA LTD,,,,
,,,,,,,,,,,,,,,,,,
Line #,Flight Date Time,Flt. #,Acft. Reg.,Acft. Type Code,Location Code @ Type,,Flt. Info. Rgn.,Max. Take Off Weight @UOM,Route Date Time @ Type,,Weight Factor,"WP
Code",Distance @ UOM,,Quantity,Unit Price,Charge Amount,
20,"2025-09-01
17:50",AIC1 62,VTJRH,A359,"EGLL  @  Origin
VIDP  @  Destination",,"0
0",280.0000  @ TON,"2025-09-01  15:58  @  Entry
2025-09-01  12:50  @  Exit",,1.8000,TONVO RASKI,"779.000  @  KM
779.000  @  KM",,1.0000,439.45,439.45,
20,"2025-09-01
17:52",AIC2 283,VTEXS,A20N,"VIDP  @  Origin
OTHH  @  Destination",,"0
0","77.0000  @
TON","2025-09-01  16:35  @  Entry
2025-09-01  13:50  @  Exit",,1.2200,RASKI MENSA,"774.000  @  KM
774.000  @  KM",,1.0000,295.94,295.94,
20,"2025-09-01
17:54","AIC9
20",VTTNY,A20N,"VABB  @  Destination
OMDB  @  Origin",,"0
0","77.0000  @
TON","2025-09-01  14:55  @  Exit
2025-09-01  15:22  @  Entry",,1.2200,"PARAR
GOMTA","747.000  @  KM
747.000  @  KM",,1.0000,285.61,285.61,
20,"2025-09-01
17:55","AIC1
31",VTAEQ,B77W,"EGLL  @  Destination
VABB  @  Origin",,"0
0","352.0000  @
TON","2025-09-01  08:50  @  Exit
2025-09-01  10:38  @  Entry",,1.9500,"MENSA
PARAR","726.000  @  KM
726.000  @  KM",,1.0000,443.68,443.68,
20,"2025-09-01
17:57","AIC1
57",VTANU,B788,"VIDP  @  Origin
EKCH  @  Destination",,"0
0","228.0000  @
TON","2025-09-01  11:24  @  Entry
2025-09-01  08:40  @  Exit",,1.7100,"RASKI
MENSA","774.000  @  KM
774.000  @  KM",,1.0000,414.80,414.80,
